"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"13690","Красноярск (Свердловский район)",2016-10-25,0,"Город","Гараж, тент–укрытие и т.д.","II","Помещение для хранения и ремонта транспорта (гараж)","Пол","Прочие материалы","Неосторожность при курении",0,1,0
"13691","Красноярск (Железнодорожный район)",2016-10-25,0,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Стена, перегородка","Мебель","Неосторожность при курении",0,1,0
"13692","Красноярск (Кировский район)",2016-10-26,0,"Город","Легковой автомобиль","Отсутствует","Салон, кузов","Код конструкции не указан","Прочие материалы","Умышленные действия по уничтожению (повреждению) имущества, нанесению вреда здоровью человека при помощи огня (поджог)",0,1,0
"13693","Красноярск (Кировский район)",2016-10-26,0,"Город","Неэксплуатируемое здание (сооружение)","V","Комната, жилое, спальное помещение, палата","Пол","Отделочные материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13694","Красноярск (Советский район)",2016-10-26,0,"Город","Многоквартирный жилой дом","II","Комната, жилое, спальное помещение, палата","Пол","Прочие материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13695","Красноярск (Октябрьский район)",2016-10-26,0,"Город","Одноквартирный жилой дом","V","Комната, жилое, спальное помещение, палата","Стена, перегородка","Отделочные материалы","Прочие причины, связанные с нарушением правил устройства и эксплуатации электрооборудования",0,1,0
"13696","Красноярск (Центральный район)",2016-10-23,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13697","Красноярск (Кировский район)",2016-10-18,0,"Город","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На обочине дороги","Не установлена","Материал не указан","Причина не указана",0,0,1
"13698","Красноярск (Октябрьский район)",2016-10-23,0,"Город","Обособленная свалка бытовых и промышленных отходов вне жилой зоны и территории предприятия, организации, учреждения","Не указана","На свалке","Не установлена","Материал не указан","Причина не указана",0,0,1
"13699","Красноярск (Советский район)",2016-10-19,0,"Город","Многоквартирный жилой дом","II","Мусоропровод","Пол","Прочие материалы","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
"13700","Красноярск (Советский район)",2016-10-22,0,"Город","Многоквартирный жилой дом","II","Подвальное помещение","Пол","Отходы производства, прочие материалы (мусор)","Прочие причины, связанные с неосторожным обращением с огнем",0,1,0
